Unnamed: 0,Unnamed: 1,Fridge_Temperature,Unnamed: 3,Temp_Condition,Threat_Label
25-Apr-19, 14:42:33 ,8.65,Temp_Condition,high,0
25-Apr-19, 14:42:38 ,1.3,Temp_Condition,low,0
25-Apr-19, 14:42:43 ,1.0,Temp_Condition,low,0
25-Apr-19, 14:42:48 ,4.05,Temp_Condition,low,0
25-Apr-19, 14:42:53 ,11.4,Temp_Condition,high,0
25-Apr-19, 14:42:58 ,13.85,Temp_Condition,high,0
25-Apr-19, 14:43:03 ,9.1,Temp_Condition,high,0
25-Apr-19, 14:43:08 ,7.7,Temp_Condition,high,0
25-Apr-19, 14:43:13 ,6.4,Temp_Condition,high,0
25-Apr-19, 14:43:18 ,13.0,Temp_Condition,high,0
25-Apr-19, 14:43:23 ,1.6,Temp_Condition,low,0
25-Apr-19, 14:43:28 ,1.0,Temp_Condition,low,0
25-Apr-19, 14:43:33 ,5.35,Temp_Condition,low,0
25-Apr-19, 14:43:38 ,4.6,Temp_Condition,low,0
25-Apr-19, 14:43:43 ,12.8,Temp_Condition,high,0
25-Apr-19, 14:43:48 ,9.85,Temp_Condition,high,0
25-Apr-19, 14:43:53 ,7.65,Temp_Condition,high,0
25-Apr-19, 14:43:58 ,7.7,Temp_Condition,high,0
25-Apr-19, 14:44:03 ,10.25,Temp_Condition,high,0
25-Apr-19, 14:44:08 ,8.25,Temp_Condition,high,0
25-Apr-19, 14:44:13 ,5.0,Temp_Condition,low,0
25-Apr-19, 14:44:18 ,10.4,Temp_Condition,high,0
25-Apr-19, 14:44:23 ,10.55,Temp_Condition,high,0
25-Apr-19, 14:44:28 ,8.8,Temp_Condition,high,0
25-Apr-19, 14:44:33 ,9.0,Temp_Condition,high,0
25-Apr-19, 14:44:38 ,4.0,Temp_Condition,low,0
25-Apr-19, 14:44:43 ,5.65,Temp_Condition,low,0
25-Apr-19, 14:44:48 ,13.4,Temp_Condition,high,0
25-Apr-19, 14:44:53 ,10.0,Temp_Condition,high,0
25-Apr-19, 14:44:58 ,5.25,Temp_Condition,low,0
25-Apr-19, 14:45:03 ,12.4,Temp_Condition,high,0
25-Apr-19, 14:45:08 ,7.55,Temp_Condition,high,0
25-Apr-19, 14:45:13 ,7.55,Temp_Condition,high,0
25-Apr-19, 14:45:18 ,3.0,Temp_Condition,low,0
25-Apr-19, 14:45:23 ,4.0,Temp_Condition,low,0
25-Apr-19, 14:45:28 ,10.4,Temp_Condition,high,0
25-Apr-19, 14:45:33 ,5.1,Temp_Condition,low,0
25-Apr-19, 14:45:38 ,5.0,Temp_Condition,low,0
25-Apr-19, 14:45:43 ,4.2,Temp_Condition,low,0
25-Apr-19, 14:45:48 ,8.55,Temp_Condition,high,0
25-Apr-19, 14:45:53 ,10.55,Temp_Condition,high,0
25-Apr-19, 14:45:58 ,13.25,Temp_Condition,high,0
25-Apr-19, 14:46:03 ,12.7,Temp_Condition,high,0
25-Apr-19, 14:46:08 ,12.55,Temp_Condition,high,0
25-Apr-19, 14:46:13 ,5.75,Temp_Condition,low,0
25-Apr-19, 14:46:18 ,9.0,Temp_Condition,high,0
25-Apr-19, 14:46:23 ,4.0,Temp_Condition,low,0
25-Apr-19, 14:46:28 ,5.55,Temp_Condition,low,0
25-Apr-19, 14:46:33 ,1.15,Temp_Condition,low,0
25-Apr-19, 14:46:38 ,2.3,Temp_Condition,low,0
25-Apr-19, 14:46:43 ,11.95,Temp_Condition,high,0
25-Apr-19, 14:46:48 ,2.2,Temp_Condition,low,0
25-Apr-19, 14:46:53 ,7.95,Temp_Condition,high,0
25-Apr-19, 14:46:58 ,13.55,Temp_Condition,high,0
25-Apr-19, 14:47:03 ,3.75,Temp_Condition,low,0
25-Apr-19, 14:47:08 ,5.1,Temp_Condition,low,0
25-Apr-19, 14:47:13 ,11.65,Temp_Condition,high,0
25-Apr-19, 14:47:18 ,6.8,Temp_Condition,high,0
25-Apr-19, 14:47:23 ,3.0,Temp_Condition,low,0
25-Apr-19, 14:47:28 ,7.5,Temp_Condition,high,0
25-Apr-19, 14:47:33 ,1.0,Temp_Condition,low,0
25-Apr-19, 14:47:38 ,3.0,Temp_Condition,low,0
25-Apr-19, 14:47:43 ,4.05,Temp_Condition,low,0
25-Apr-19, 14:47:48 ,7.7,Temp_Condition,high,0
25-Apr-19, 14:47:53 ,13.7,Temp_Condition,high,0
25-Apr-19, 14:47:58 ,13.1,Temp_Condition,high,0
25-Apr-19, 14:48:03 ,4.65,Temp_Condition,low,0
25-Apr-19, 14:48:08 ,1.0,Temp_Condition,low,0
